id,module_code,title,category,topic_tags,target_group,description,faculty_tag,level_tag,study_level_match,module_level_number,credits,semester
196,SDS1095,Level 1000 Introduction to Analytics Computing,Academic,"azure,sql,cybersecurity,foundations",Undergraduate,"Level 1000 Introduction to Analytics Computing is designed for undergraduate and focuses on azure, sql, cybersecurity within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
197,FASS1096,Research Poster Session,Student Activity,"writing,history,critical thinking,leadership,innovation,introductory",All Students,"Research Poster Session is an engagement opportunity for students interested in writing, history, critical thinking and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
198,SCI1097,Research Poster Session,Student Activity,"scientific methods,experimentation,environment,leadership,innovation,introductory",All Students,"Research Poster Session is an engagement opportunity for students interested in scientific methods, experimentation, environment and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
199,SCI1098,Level 1000 Introduction to Quantitative Investigations,Academic,"environment,research,data analysis,basics",Undergraduate,"Level 1000 Introduction to Quantitative Investigations is designed for undergraduate and focuses on environment, research, data analysis within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
200,SDS1099,Graduate Employability Clinic,Career,"devops,data science,distributed systems,career,employability,professional skills,fundamentals",Undergraduate,"Graduate Employability Clinic supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
201,SBE1000,Campus Guidance Briefing,Campus Service,"analytics,leadership,finance,student support,academic support,foundations",All Students,"Campus Guidance Briefing provides university support services related to analytics, leadership, finance for the UBD community.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
202,SDS1001,Level 1000 Introduction to Data Development,Academic,"cybersecurity,data science,sql,foundations",Undergraduate,"Level 1000 Introduction to Data Development is designed for undergraduate and focuses on cybersecurity, data science, sql within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
203,SBE1002,Level 1000 Introduction to Innovation Development,Academic,"innovation,marketing,entrepreneurship,fundamentals",Undergraduate,"Level 1000 Introduction to Innovation Development is designed for undergraduate and focuses on innovation, marketing, entrepreneurship within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
204,SDS1003,Entrepreneurship Seminar,Student Activity,"software engineering,cybersecurity,python,leadership,innovation,basics",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in software engineering, cybersecurity, python and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
205,SBE1004,Level 1000 Introduction to Economic Decision Making,Academic,"leadership,innovation,strategy,fundamentals",Undergraduate,"Level 1000 Introduction to Economic Decision Making is designed for undergraduate and focuses on leadership, innovation, strategy within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
206,FASS1005,Level 1000 Introduction to Critical Methods,Academic,"culture,research,critical thinking,introductory",Undergraduate,"Level 1000 Introduction to Critical Methods is designed for undergraduate and focuses on culture, research, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
207,SDS1006,Innovation Challenge,Student Activity,"programming,cybersecurity,cloud,leadership,innovation,introductory",All Students,"Innovation Challenge is an engagement opportunity for students interested in programming, cybersecurity, cloud and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
208,SDS1007,Career Development Seminar,Career,"software engineering,analytics,web development,career,employability,professional skills,fundamentals",Undergraduate,"Career Development Seminar supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
209,SCI1008,Interview Readiness Session,Career,"statistics,physics,lab work,career,employability,professional skills,fundamentals",Undergraduate,"Interview Readiness Session supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
210,SDS1009,Interview Readiness Session,Career,"distributed systems,web development,cybersecurity,career,employability,professional skills,fundamentals",Undergraduate,"Interview Readiness Session supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
211,SCI1010,Technology Showcase,Student Activity,"chemistry,experimentation,environment,leadership,innovation,fundamentals",All Students,"Technology Showcase is an engagement opportunity for students interested in chemistry, experimentation, environment and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
212,SDS1011,Level 1000 Introduction to Data Mining,Academic,"data science,web development,devops,basics",Undergraduate,"Level 1000 Introduction to Data Mining is designed for undergraduate and focuses on data science, web development, devops within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
213,SDS1012,Student Leadership Forum,Student Activity,"sql,web development,software engineering,leadership,innovation,foundations",All Students,"Student Leadership Forum is an engagement opportunity for students interested in sql, web development, software engineering and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
214,FASS1013,Level 1000 Introduction to Research Projects,Academic,"literature,research,communication,foundations",Undergraduate,"Level 1000 Introduction to Research Projects is designed for undergraduate and focuses on literature, research, communication within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
215,SBE1014,CV and Portfolio Review,Career,"finance,marketing,innovation,career,employability,professional skills,foundations",Undergraduate,"CV and Portfolio Review supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
216,SCI1015,Technology Showcase,Student Activity,"biology,environment,research,leadership,innovation,foundations",All Students,"Technology Showcase is an engagement opportunity for students interested in biology, environment, research and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
217,FASS1016,Level 1000 Introduction to Cultural Inquiry,Academic,"writing,literature,academic writing,introductory",Undergraduate,"Level 1000 Introduction to Cultural Inquiry is designed for undergraduate and focuses on writing, literature, academic writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
218,SBE1017,Entrepreneurship Seminar,Student Activity,"analytics,leadership,finance,innovation,basics",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in analytics, leadership, finance and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
219,FASS1018,Student Leadership Forum,Student Activity,"innovation,writing,policy,leadership,basics",All Students,"Student Leadership Forum is an engagement opportunity for students interested in innovation, writing, policy and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
220,SCI1019,Level 1000 Introduction to Physics Applications,Academic,"biology,research,scientific methods,fundamentals",Undergraduate,"Level 1000 Introduction to Physics Applications is designed for undergraduate and focuses on biology, research, scientific methods within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
221,SBE1020,Level 1000 Introduction to Finance Leadership,Academic,"leadership,business,innovation,introductory",Undergraduate,"Level 1000 Introduction to Finance Leadership is designed for undergraduate and focuses on leadership, business, innovation within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
222,SDS1021,Research Poster Session,Student Activity,"python,software engineering,machine learning,leadership,innovation,fundamentals",All Students,"Research Poster Session is an engagement opportunity for students interested in python, software engineering, machine learning and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
223,FASS1022,Level 1000 Introduction to Critical Writing,Academic,"research,media,critical thinking,fundamentals",Undergraduate,"Level 1000 Introduction to Critical Writing is designed for undergraduate and focuses on research, media, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
224,SCI1023,Level 1000 Introduction to Biology Methods,Academic,"research,environment,scientific methods,introductory",Undergraduate,"Level 1000 Introduction to Biology Methods is designed for undergraduate and focuses on research, environment, scientific methods within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
225,SDS1024,Level 1000 Introduction to Systems Design,Academic,"sql,web development,python,introductory",Undergraduate,"Level 1000 Introduction to Systems Design is designed for undergraduate and focuses on sql, web development, python within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
226,SDS1025,Library Research Support,Campus Service,"azure,machine learning,data science,student support,academic support,basics",All Students,"Library Research Support provides university support services related to azure, machine learning, data science for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
227,SDS1026,Level 1000 Introduction to AI Mining,Academic,"azure,analytics,machine learning,basics",Undergraduate,"Level 1000 Introduction to AI Mining is designed for undergraduate and focuses on azure, analytics, machine learning within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
228,SDS1027,Learning Support Workshop,Campus Service,"azure,web development,cloud,student support,academic support,basics",All Students,"Learning Support Workshop provides university support services related to azure, web development, cloud for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
229,SDS1028,Level 1000 Introduction to Data Development,Academic,"web development,python,machine learning,basics",Undergraduate,"Level 1000 Introduction to Data Development is designed for undergraduate and focuses on web development, python, machine learning within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
230,FASS1029,Level 1000 Introduction to Research Studies,Academic,"literature,culture,critical thinking,fundamentals",Undergraduate,"Level 1000 Introduction to Research Studies is designed for undergraduate and focuses on literature, culture, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
231,SBE1030,Level 1000 Introduction to Finance Systems,Academic,"business,leadership,innovation,basics",Undergraduate,"Level 1000 Introduction to Finance Systems is designed for undergraduate and focuses on business, leadership, innovation within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
232,SDS1031,Student Wellbeing Support,Campus Service,"distributed systems,programming,web development,student support,academic support,basics",All Students,"Student Wellbeing Support provides university support services related to distributed systems, programming, web development for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
233,SBE1032,Level 1000 Introduction to Finance Development,Academic,"entrepreneurship,innovation,finance,basics",Undergraduate,"Level 1000 Introduction to Finance Development is designed for undergraduate and focuses on entrepreneurship, innovation, finance within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
234,SDS1033,Entrepreneurship Seminar,Student Activity,"programming,devops,python,leadership,innovation,introductory",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in programming, devops, python and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
235,SDS1034,Level 1000 Introduction to Software Design,Academic,"python,sql,cloud,foundations",Undergraduate,"Level 1000 Introduction to Software Design is designed for undergraduate and focuses on python, sql, cloud within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
236,FASS1035,Level 1000 Introduction to Academic Methods,Academic,"policy,writing,research,introductory",Undergraduate,"Level 1000 Introduction to Academic Methods is designed for undergraduate and focuses on policy, writing, research within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
237,FASS1036,Level 1000 Introduction to Writing Perspectives,Academic,"sociology,academic writing,policy,foundations",Undergraduate,"Level 1000 Introduction to Writing Perspectives is designed for undergraduate and focuses on sociology, academic writing, policy within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
238,FASS1037,Research Poster Session,Student Activity,"critical thinking,policy,sociology,leadership,innovation,foundations",All Students,"Research Poster Session is an engagement opportunity for students interested in critical thinking, policy, sociology and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
239,SBE1038,Entrepreneurship Seminar,Student Activity,"marketing,business,economics,leadership,innovation,foundations",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in marketing, business, economics and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
240,SBE1039,Student Wellbeing Support,Campus Service,"entrepreneurship,finance,management,student support,academic support,basics",All Students,"Student Wellbeing Support provides university support services related to entrepreneurship, finance, management for the UBD community.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
241,FASS1040,Level 1000 Introduction to Cultural Projects,Academic,"research,writing,literature,introductory",Undergraduate,"Level 1000 Introduction to Cultural Projects is designed for undergraduate and focuses on research, writing, literature within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
242,SCI1041,Student Leadership Forum,Student Activity,"scientific methods,chemistry,research,leadership,innovation,fundamentals",All Students,"Student Leadership Forum is an engagement opportunity for students interested in scientific methods, chemistry, research and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
243,FASS1042,Level 1000 Introduction to Research Studies,Academic,"academic writing,innovation,culture,introductory",Undergraduate,"Level 1000 Introduction to Research Studies is designed for undergraduate and focuses on academic writing, innovation, culture within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
244,SBE1043,Level 1000 Introduction to Management Applications,Academic,"innovation,marketing,finance,fundamentals",Undergraduate,"Level 1000 Introduction to Management Applications is designed for undergraduate and focuses on innovation, marketing, finance within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
245,SCI1044,Level 1000 Introduction to Quantitative Systems,Academic,"environment,biology,research,foundations",Undergraduate,"Level 1000 Introduction to Quantitative Systems is designed for undergraduate and focuses on environment, biology, research within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
246,SCI1045,Level 1000 Introduction to Biology Foundations,Academic,"lab work,statistics,biology,basics",Undergraduate,"Level 1000 Introduction to Biology Foundations is designed for undergraduate and focuses on lab work, statistics, biology within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
247,SDS1046,Level 1000 Introduction to Cloud Infrastructure,Academic,"software engineering,machine learning,data science,basics",Undergraduate,"Level 1000 Introduction to Cloud Infrastructure is designed for undergraduate and focuses on software engineering, machine learning, data science within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
248,SDS1047,Technology Showcase,Student Activity,"devops,azure,data science,leadership,innovation,basics",All Students,"Technology Showcase is an engagement opportunity for students interested in devops, azure, data science and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
249,SBE1048,Graduate Employability Clinic,Career,"economics,strategy,management,career,employability,professional skills,basics",Undergraduate,"Graduate Employability Clinic supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
250,SDS1049,Graduate Employability Clinic,Career,"software engineering,machine learning,devops,career,employability,professional skills,foundations",Undergraduate,"Graduate Employability Clinic supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
251,SCI2000,Student Leadership Forum,Student Activity,"physics,chemistry,lab work,leadership,innovation,intermediate",All Students,"Student Leadership Forum is an engagement opportunity for students interested in physics, chemistry, lab work and broader campus participation.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 2
252,FASS2001,Level 2000 Intermediate Communication Practice,Academic,"academic writing,literature,critical thinking,intermediate",Undergraduate,"Level 2000 Intermediate Communication Practice is designed for undergraduate and focuses on academic writing, literature, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 1
253,SDS2002,Interview Readiness Session,Career,"data science,sql,cybersecurity,career,employability,professional skills,practice",Undergraduate,"Interview Readiness Session supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 2
254,SCI2003,Technology Showcase,Student Activity,"chemistry,research,environment,leadership,innovation,practice",All Students,"Technology Showcase is an engagement opportunity for students interested in chemistry, research, environment and broader campus participation.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 2
255,SDS2004,Entrepreneurship Seminar,Student Activity,"analytics,programming,cybersecurity,leadership,innovation,intermediate",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in analytics, programming, cybersecurity and broader campus participation.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
256,SDS2005,Level 2000 Intermediate Analytics Architecture,Academic,"distributed systems,devops,software engineering,practice",Undergraduate,"Level 2000 Intermediate Analytics Architecture is designed for undergraduate and focuses on distributed systems, devops, software engineering within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
257,FASS2006,Level 2000 Intermediate Media Practice,Academic,"communication,policy,research,practice",Undergraduate,"Level 2000 Intermediate Media Practice is designed for undergraduate and focuses on communication, policy, research within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 2
258,FASS2007,Learning Support Workshop,Campus Service,"innovation,writing,literature,student support,academic support,intermediate",All Students,"Learning Support Workshop provides university support services related to innovation, writing, literature for the UBD community.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,3,Semester 1
259,SBE2008,Level 2000 Intermediate Management Analysis,Academic,"analytics,entrepreneurship,business,applications",Undergraduate,"Level 2000 Intermediate Management Analysis is designed for undergraduate and focuses on analytics, entrepreneurship, business within School of Business and Economics.",School of Business and Economics,Level 2000,Undergraduate,2000,4,Semester 1
260,FASS2009,Level 2000 Intermediate Social Writing,Academic,"innovation,writing,media,applications",Undergraduate,"Level 2000 Intermediate Social Writing is designed for undergraduate and focuses on innovation, writing, media within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 1
261,SDS2010,Level 2000 Intermediate Cloud Mining,Academic,"machine learning,azure,python,practice",Undergraduate,"Level 2000 Intermediate Cloud Mining is designed for undergraduate and focuses on machine learning, azure, python within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 2
262,SCI2011,Level 2000 Intermediate Chemistry Research,Academic,"chemistry,biology,statistics,applications",Undergraduate,"Level 2000 Intermediate Chemistry Research is designed for undergraduate and focuses on chemistry, biology, statistics within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,4,Semester 1
263,SDS2012,Level 2000 Intermediate Cybersecurity Mining,Academic,"python,sql,devops,methods",Undergraduate,"Level 2000 Intermediate Cybersecurity Mining is designed for undergraduate and focuses on python, sql, devops within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 1
264,SCI2013,Level 2000 Intermediate Environmental Methods,Academic,"lab work,environment,scientific methods,practice",Undergraduate,"Level 2000 Intermediate Environmental Methods is designed for undergraduate and focuses on lab work, environment, scientific methods within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 2
265,FASS2014,Level 2000 Intermediate Academic Inquiry,Academic,"communication,writing,critical thinking,practice",Undergraduate,"Level 2000 Intermediate Academic Inquiry is designed for undergraduate and focuses on communication, writing, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,3,Semester 2
266,SBE2015,Internship Preparation Workshop,Career,"leadership,analytics,marketing,career,employability,professional skills,applications",Undergraduate,"Internship Preparation Workshop supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 2000,Undergraduate,2000,3,Semester 1
267,FASS2016,Internship Preparation Workshop,Career,"literature,sociology,critical thinking,career,employability,professional skills,methods",Undergraduate,"Internship Preparation Workshop supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 1
268,SCI2017,Level 2000 Intermediate Quantitative Foundations,Academic,"data analysis,research,biology,methods",Undergraduate,"Level 2000 Intermediate Quantitative Foundations is designed for undergraduate and focuses on data analysis, research, biology within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,4,Semester 1
269,SDS2018,Library Research Support,Campus Service,"python,distributed systems,analytics,student support,academic support,applications",All Students,"Library Research Support provides university support services related to python, distributed systems, analytics for the UBD community.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 2
270,SDS2019,Level 2000 Intermediate Systems Infrastructure,Academic,"cloud,programming,devops,practice",Undergraduate,"Level 2000 Intermediate Systems Infrastructure is designed for undergraduate and focuses on cloud, programming, devops within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
271,SBE2020,CV and Portfolio Review,Career,"strategy,entrepreneurship,management,career,employability,professional skills,applications",Undergraduate,"CV and Portfolio Review supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 2000,Undergraduate,2000,4,Semester 1
272,SBE2021,Research Poster Session,Student Activity,"leadership,economics,strategy,innovation,methods",All Students,"Research Poster Session is an engagement opportunity for students interested in leadership, economics, strategy and broader campus participation.",School of Business and Economics,Level 2000,Undergraduate,2000,4,Semester 2
273,SCI2022,Career Development Seminar,Career,"scientific methods,lab work,experimentation,career,employability,professional skills,applications",Undergraduate,"Career Development Seminar supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 1
274,FASS2023,Career Development Seminar,Career,"academic writing,history,critical thinking,career,employability,professional skills,intermediate",Undergraduate,"Career Development Seminar supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 2
275,SDS2024,Student Leadership Forum,Student Activity,"distributed systems,programming,data science,leadership,innovation,practice",All Students,"Student Leadership Forum is an engagement opportunity for students interested in distributed systems, programming, data science and broader campus participation.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
276,SBE2025,Entrepreneurship Seminar,Student Activity,"business,marketing,management,leadership,innovation,methods",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in business, marketing, management and broader campus participation.",School of Business and Economics,Level 2000,Undergraduate,2000,3,Semester 2
277,SDS2026,Level 2000 Intermediate Programming Mining,Academic,"machine learning,python,analytics,practice",Undergraduate,"Level 2000 Intermediate Programming Mining is designed for undergraduate and focuses on machine learning, python, analytics within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 1
278,FASS2027,Level 2000 Intermediate Cultural Writing,Academic,"communication,academic writing,writing,applications",Undergraduate,"Level 2000 Intermediate Cultural Writing is designed for undergraduate and focuses on communication, academic writing, writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,3,Semester 2
279,SDS2028,Level 2000 Intermediate Data Applications,Academic,"software engineering,distributed systems,azure,practice",Undergraduate,"Level 2000 Intermediate Data Applications is designed for undergraduate and focuses on software engineering, distributed systems, azure within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
280,SCI2029,Level 2000 Intermediate Applied Techniques,Academic,"physics,research,data analysis,practice",Undergraduate,"Level 2000 Intermediate Applied Techniques is designed for undergraduate and focuses on physics, research, data analysis within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 1
281,SCI2030,Level 2000 Intermediate Chemistry Applications,Academic,"biology,lab work,scientific methods,practice",Undergraduate,"Level 2000 Intermediate Chemistry Applications is designed for undergraduate and focuses on biology, lab work, scientific methods within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 2
282,FASS2031,Level 2000 Intermediate Media Perspectives,Academic,"literature,culture,innovation,applications",Undergraduate,"Level 2000 Intermediate Media Perspectives is designed for undergraduate and focuses on literature, culture, innovation within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,4,Semester 2
283,SDS2032,Student Leadership Forum,Student Activity,"web development,machine learning,azure,leadership,innovation,practice",All Students,"Student Leadership Forum is an engagement opportunity for students interested in web development, machine learning, azure and broader campus participation.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 2
284,SDS2033,Level 2000 Intermediate Programming Infrastructure,Academic,"machine learning,cloud,web development,methods",Undergraduate,"Level 2000 Intermediate Programming Infrastructure is designed for undergraduate and focuses on machine learning, cloud, web development within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 2
285,SBE2034,Student Leadership Forum,Student Activity,"business,finance,economics,leadership,innovation,methods",All Students,"Student Leadership Forum is an engagement opportunity for students interested in business, finance, economics and broader campus participation.",School of Business and Economics,Level 2000,Undergraduate,2000,3,Semester 2
286,SCI2035,Level 2000 Intermediate Physics Investigations,Academic,"physics,research,lab work,practice",Undergraduate,"Level 2000 Intermediate Physics Investigations is designed for undergraduate and focuses on physics, research, lab work within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,4,Semester 2
287,SCI2036,Professional Skills Lab,Career,"physics,biology,chemistry,career,employability,professional skills,applications",Undergraduate,"Professional Skills Lab supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 1
288,SCI2037,CV and Portfolio Review,Career,"environment,scientific methods,data analysis,career,employability,professional skills,intermediate",Undergraduate,"CV and Portfolio Review supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 2000,Undergraduate,2000,4,Semester 1
289,SDS2038,Internship Preparation Workshop,Career,"web development,cloud,data science,career,employability,professional skills,intermediate",Undergraduate,"Internship Preparation Workshop supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 2000,Undergraduate,2000,3,Semester 2
290,SBE2039,Level 2000 Intermediate Strategic Leadership,Academic,"business,economics,marketing,methods",Undergraduate,"Level 2000 Intermediate Strategic Leadership is designed for undergraduate and focuses on business, economics, marketing within School of Business and Economics.",School of Business and Economics,Level 2000,Undergraduate,2000,4,Semester 2
291,FASS2040,Level 2000 Intermediate Critical Projects,Academic,"academic writing,innovation,literature,methods",Undergraduate,"Level 2000 Intermediate Critical Projects is designed for undergraduate and focuses on academic writing, innovation, literature within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 2000,Undergraduate,2000,3,Semester 2
292,SBE2041,Level 2000 Intermediate Business Applications,Academic,"innovation,entrepreneurship,management,methods",Undergraduate,"Level 2000 Intermediate Business Applications is designed for undergraduate and focuses on innovation, entrepreneurship, management within School of Business and Economics.",School of Business and Economics,Level 2000,Undergraduate,2000,3,Semester 1
293,SCI2042,Professional Skills Lab,Career,"biology,scientific methods,experimentation,career,employability,professional skills,methods",Undergraduate,"Professional Skills Lab supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 1
294,SDS2043,Level 2000 Intermediate Analytics Applications,Academic,"cybersecurity,data science,sql,practice",Undergraduate,"Level 2000 Intermediate Analytics Applications is designed for undergraduate and focuses on cybersecurity, data science, sql within School of Digital Science.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 1
295,SCI2044,Student Wellbeing Support,Campus Service,"environment,research,statistics,student support,academic support,practice",All Students,"Student Wellbeing Support provides university support services related to environment, research, statistics for the UBD community.",Faculty of Science,Level 2000,Undergraduate,2000,4,Semester 1
296,SDS2045,Student Leadership Forum,Student Activity,"programming,web development,distributed systems,leadership,innovation,applications",All Students,"Student Leadership Forum is an engagement opportunity for students interested in programming, web development, distributed systems and broader campus participation.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 2
297,SDS2046,Student Leadership Forum,Student Activity,"cybersecurity,software engineering,cloud,leadership,innovation,intermediate",All Students,"Student Leadership Forum is an engagement opportunity for students interested in cybersecurity, software engineering, cloud and broader campus participation.",School of Digital Science,Level 2000,Undergraduate,2000,4,Semester 2
298,SCI2047,Level 2000 Intermediate Biology Systems,Academic,"research,statistics,experimentation,methods",Undergraduate,"Level 2000 Intermediate Biology Systems is designed for undergraduate and focuses on research, statistics, experimentation within Faculty of Science.",Faculty of Science,Level 2000,Undergraduate,2000,3,Semester 1
